state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
KS,128,415,382-4657,no,yes,25,110,45.07,99,16.78,91,11.01,3,2.7,1,FALSE
OH,107,415,371-7191,no,yes,26,123,27.47,103,16.62,103,11.45,3,3.7,1,FALSE
NJ,137,415,358-1921,no,no,0,114,41.38,110,10.3,104,7.32,5,3.29,0,FALSE
OH,84,408,375-9999,yes,no,0,71,50.9,88,5.26,89,8.86,7,1.78,2,FALSE
OK,75,415,330-6626,yes,no,0,113,28.34,122,12.61,121,8.41,3,2.73,3,FALSE
AL,118,510,391-8027,yes,no,0,98,37.98,101,18.75,118,9.18,6,1.7,0,FALSE
MA,121,510,355-9993,no,yes,24,88,37.09,,29.62,118,9.57,7,2.03,3,FALSE
MO,147,415,329-9001,yes,no,0,79,26.69,94,8.76,96,9.53,6,1.92,0,FALSE
LA,117,408,335-4719,no,no,0,97,31.37,80,29.89,90,9.71,4,2.35,1,FALSE
WV,141,415,330-8173,yes,yes,37,84,43.96,111,18.87,97,14.69,5,3.02,0,FALSE
IN,65,415,329-6603,no,no,0,137,,83,19.42,111,9.4,6,,4,TRUE
RI,74,415,344-9403,no,no,0,127,31.91,148,13.89,94,8.82,5,2.46,0,FALSE
IA,168,408,363-1107,no,no,0,96,21.9,71,8.92,128,6.35,2,3.02,1,FALSE
MT,95,510,394-8006,no,no,0,88,26.62,75,21.05,115,8.65,5,3.32,3,FALSE
IA,62,415,366-9238,no,no,0,70,20.52,76,26.11,,9.14,6,3.54,4,FALSE
NY,161,415,351-7269,no,no,0,67,56.59,97,27.01,128,7.23,9,1.46,4,TRUE
ID,85,408,350-8884,no,yes,27,139,33.39,90,23.88,75,4.02,4,3.73,1,FALSE
VT,93,510,386-2923,no,no,0,114,32.42,111,18.55,121,5.83,3,,3,FALSE
VA,76,510,356-2992,no,yes,33,66,32.25,65,18.09,108,7.46,5,2.7,1,FALSE
TX,73,415,373-2782,no,no,0,90,38.15,88,13.56,74,8.68,2,3.51,1,FALSE
FL,147,415,396-5800,no,no,0,117,26.37,93,20.37,133,9.4,4,2.86,0,FALSE
CO,77,408,393-7984,no,no,0,89,10.61,121,14.44,64,9.43,6,1.54,5,TRUE
AZ,130,415,358-1958,no,no,0,112,31.11,99,6.2,78,8.18,19,2.57,0,FALSE
SC,111,415,350-2565,no,no,0,103,18.77,102,,105,8.53,,2.08,2,FALSE
VA,132,510,343-4696,no,no,0,86,13.79,72,20.84,115,10.67,2,2.78,0,FALSE
NE,174,415,331-3698,no,no,0,76,21.13,112,23.55,115,11.28,5,4.19,3,FALSE
WY,57,408,357-3817,no,yes,39,115,36.21,112,16.24,115,8.22,3,2.57,0,FALSE
MT,54,408,418-6412,no,no,0,73,22.83,100,13.22,68,4.59,4,3.97,3,FALSE
MO,20,415,353-2630,no,no,0,109,32.3,84,21.95,102,8.17,6,1.7,0,FALSE
HI,49,510,410-7789,no,no,0,,20.28,109,18.28,90,8.04,1,3,1,FALSE
IL,142,415,416-8428,no,no,0,95,14.42,63,11.62,148,11.27,6,3.83,2,FALSE
NH,75,510,370-3359,no,no,0,105,38.44,107,17.13,98,11.08,5,2.78,1,FALSE
LA,172,408,383-1121,no,no,0,121,36.04,115,2.65,78,13.2,10,3.4,3,FALSE
AZ,12,408,360-1596,no,no,0,118,42.43,119,21.45,90,12.61,3,3.19,1,TRUE
OK,57,408,395-2854,no,yes,25,94,,75,16.58,116,9.61,4,2.24,0,FALSE
GA,72,415,362-1407,no,yes,37,80,37.4,102,18.47,71,6.88,6,3.97,3,FALSE
AK,36,408,341-9764,no,yes,30,128,24.87,80,13.81,109,5.82,6,3.92,0,FALSE
MA,78,415,353-3305,no,no,0,64,22.24,116,19.01,108,10.25,5,2.7,1,FALSE
AK,136,415,402-1381,yes,yes,33,106,34.66,99,15.95,107,4.58,6,2.84,3,FALSE
NJ,149,408,332-9891,no,no,0,94,23.87,92,23.1,108,8.47,9,3,1,FALSE
GA,98,408,372-9976,no,no,0,102,21.47,85,14.18,135,8.45,2,2.54,3,FALSE
MD,135,408,383-6029,yes,yes,41,85,29.43,107,,78,5.5,15,3.94,0,TRUE
AR,34,510,353-7289,no,no,0,82,21.22,98,23.99,78,14.02,4,2.7,2,FALSE
